X:140, 356, 140, 364
XF:140, 436, 140, 444
D1:225, 356, 225, 364
D3:225, 436, 225, 444
D7:440, 356, 440, 364
D5:390, 436, 390, 444
SI:540, 356, 540, 364
SII:540, 436, 540, 444
XI:740, 356, 740, 364
XII:740, 436, 740, 444
D10:940, 356, 940, 364
D8:990, 436, 990, 444
D6:1140, 356, 1140, 364
D4:1190, 436, 1190, 444
SF:1400, 356, 1400, 364
D2:1295, 436, 1295, 444
S:1400, 436, 1400, 444
S3:540, 275, 540, 283
X3:740, 275, 740, 283
S4:540, 516, 540, 524
X4:740, 516, 740, 524
X1:140, 331, 140, 349
XF1:140, 411, 140, 429
D11:225, 331, 225, 349
D31:225, 411, 225, 429
D71:440, 331, 440, 349
D51:390, 411, 390, 429
SI1:540, 371, 540, 389
SII1:540, 451, 540, 469
XI1:740, 331, 740, 349
XII1:740, 411, 740, 429
D101:940, 371, 940, 389
D81:990, 451, 990, 469
D61:1140, 371, 1140, 389
D41:1190, 451, 1190, 469
SF1:1400, 370, 1400, 390
D21:1295, 451, 1295, 469
S1:1400, 451, 1400, 469
S31:540, 290, 540, 308
X31:740, 250, 740, 268
S41:540, 531, 540, 549
X41:740, 491, 740, 509
