1: 40, 360, 140, 360
2: 40, 440, 140, 440
IAG: 140, 360, 240, 360
IIAG: 140, 440, 240, 440
1-7DG: 240, 360, 440, 360
3-5DG: 240, 440, 390, 440
11DG: 440, 360, 540, 360
9DG: 390, 440, 540, 440
IG: 540, 360, 740, 360
IIG: 540, 440, 740, 440
12DG: 740, 360, 940, 360
10DG: 740, 440, 990, 440
6DG: 940, 360, 1140, 360
8DG: 990, 440, 1190, 440
4DG: 1140, 360, 1400, 360
2DG: 1190, 440, 1295, 440
IIBG: 1295, 440, 1400, 440
3: 1400, 440, 1450, 440
4: 1400, 360, 1450, 360
c1: 470, 350, 525, 280
c2: 525, 279, 540, 279
3G: 540, 279, 740, 279
c3: 740, 279, 755, 279
c4: 755, 279, 880, 350
c5: 420, 450, 500, 520
c6: 500, 520, 540, 520
4G: 540, 520, 740, 520
c7: 740, 520, 880, 520
c8: 880, 520, 950, 450
1-3DC: 260, 370, 360, 430
5-7DC: 260, 430, 360, 370
6-8DC: 1020, 430, 1100, 370
4-2DC: 1260, 430, 1180, 370
